# close
10.25, 9.75, 10.05, 10.45, 11.15, 10.75, 10.55, 10.95, 11.35, 11.85, 11.45, 11.15, 11.65, 12.05, 12.45, 11.95, 11.75, 12.25, 12.55, 12.95, 12.65, 13.35, 13.75, 14.15, 13.85, 14.45, 14.95, 14.65, 15.25, 15.6, 15.2, 15.65, 16.2, 16.5, 16.15, 16.65, 16.4, 17, 17.4, 17.7, 17.1, 17.8, 17.5, 18, 18.3, 18.7, 18.2, 18.65, 19, 19.3, 18.9, 19.45, 19.95, 20.2, 19.75, 20.35, 20, 20.4, 20.7, 20.95

# high
10.45, 10.05, 10.45, 10.65, 11.45, 11.15, 10.75, 11.25, 11.75, 12.05, 11.75, 11.55, 11.85, 12.35, 12.85, 12.15, 12.05, 12.65, 12.75, 13.25, 13.05, 13.55, 14.05, 14.55, 14.05, 14.75, 15.35, 14.85, 15.55, 16, 15.4, 15.95, 16.6, 16.7, 16.45, 17.05, 16.6, 17.3, 17.8, 17.9, 17.4, 18.2, 17.7, 18.3, 18.7, 18.9, 18.5, 19.05, 19.2, 19.6, 19.3, 19.65, 20.25, 20.6, 19.95, 20.65, 20.4, 20.6, 21, 21.35

# low
9.95, 9.35, 9.85, 10.15, 10.75, 10.55, 10.25, 10.55, 11.15, 11.55, 11.05, 10.95, 11.35, 11.65, 12.25, 11.65, 11.35, 12.05, 12.25, 12.55, 12.45, 13.05, 13.35, 13.95, 13.55, 14.05, 14.75, 14.35, 14.85, 15.4, 14.9, 15.25, 16, 16.2, 15.75, 16.45, 16.1, 16.6, 17.2, 17.4, 16.7, 17.6, 17.2, 17.6, 18.1, 18.4, 17.8, 18.45, 18.7, 18.9, 18.7, 19.15, 19.55, 20, 19.45, 19.95, 19.8, 20.1, 20.3, 20.75

# volume
10000, 10550, 11100, 11650, 12200, 11500, 12050, 12600, 13150, 13700, 13000, 13550, 14100, 14650, 15200, 14500, 15050, 15600, 16150, 16700, 16000, 16550, 17100, 17650, 18200, 17500, 18050, 18600, 19150, 19700, 19000, 19550, 20100, 20650, 21200, 20500, 21050, 21600, 22150, 22700, 22000, 22550, 23100, 23650, 24200, 23500, 24050, 24600, 25150, 25700, 25000, 25550, 26100, 26650, 27200, 26500, 27050, 27600, 28150, 28700

# ma5
nan, nan, nan, nan, 10.33, 10.43, 10.59, 10.77, 10.95, 11.09, 11.23, 11.35, 11.49, 11.63, 11.75, 11.85, 11.97, 12.09, 12.19, 12.29, 12.43, 12.75, 13.05, 13.37, 13.55, 13.91, 14.23, 14.41, 14.63, 14.98, 15.13, 15.27, 15.58, 15.83, 15.94, 16.23, 16.38, 16.54, 16.72, 17.03, 17.12, 17.4, 17.5, 17.62, 17.74, 18.06, 18.14, 18.37, 18.57, 18.77, 18.81, 19.06, 19.32, 19.56, 19.65, 19.94, 20.05, 20.14, 20.24, 20.48

# ma10
nan, nan, nan, nan, nan, nan, nan, nan, nan, 10.71, 10.83, 10.97, 11.13, 11.29, 11.42, 11.54, 11.66, 11.79, 11.91, 12.02, 12.14, 12.36, 12.57, 12.78, 12.92, 13.17, 13.49, 13.73, 14, 14.265, 14.52, 14.75, 14.995, 15.23, 15.46, 15.68, 15.825, 16.06, 16.275, 16.485, 16.675, 16.89, 17.02, 17.17, 17.385, 17.59, 17.77, 17.935, 18.095, 18.255, 18.435, 18.6, 18.845, 19.065, 19.21, 19.375, 19.555, 19.73, 19.9, 20.065

# ema12
nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 10.8083333333, 10.9378205128, 11.1089250493, 11.3152442725, 11.4128989998, 11.4647606921, 11.5855667395, 11.7339410873, 11.9210270738, 12.0331767548, 12.2357649464, 12.4687241854, 12.727382003, 12.9000924641, 13.1385397773, 13.4172259654, 13.6068835092, 13.8596706616, 14.1274136368, 14.2924269234, 14.5012843198, 14.7626251937, 15.0299136254, 15.2022346061, 15.4249677436, 15.5749727062, 15.7942076744, 16.0412526476, 16.296444548, 16.4200684637, 16.6323656231, 16.7658478349, 16.9557173988, 17.1625301067, 17.3990639364, 17.5222848693, 17.6957795048, 17.8964288117, 18.1123628407, 18.2335377883, 18.4206858209, 18.6559649253, 18.893508783, 19.0252766625, 19.2290802529, 19.3476832909, 19.5095781692, 19.6927199894, 19.8861476833

# macd_dif
nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.23469362346, 1.28773878593, 1.29069167634, 1.32615970528, 1.36675534385, 1.35107665219, 1.35929332794, 1.39411501603, 1.42944123871, 1.41290832213, 1.42373970291, 1.39605785363, 1.40632355173, 1.43024883028, 1.45662619859, 1.41282925128, 1.41825524126, 1.38241229619, 1.37846227033, 1.38359017291, 1.40374918293, 1.36366009753, 1.35260841982, 1.35645558492, 1.36794318624, 1.32944551564, 1.32800779063, 1.35163341587, 1.37468331125, 1.34117900351, 1.34750834641, 1.30919078491, 1.29615918219, 1.29510981617, 1.29947159701

# macd_dea
nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.33777392997, 1.3528008084, 1.3669885873, 1.37280244057, 1.3795066628, 1.3896550963, 1.40304931675, 1.40500530366, 1.40765529118, 1.40260669218, 1.39777780781, 1.39494028083, 1.39670206125, 1.39009366851, 1.38259661877, 1.377368412, 1.37548336685, 1.36627579661, 1.35862219541, 1.3572244395, 1.36071621385, 1.35680877178, 1.35494868671, 1.34579710635, 1.33586952152, 1.32771758045, 1.32206838376

# macd_bar
nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.183334617477, 0.120215027459, 0.113502231211, 0.0465108261185, 0.0536337778547, 0.0811874679616, 0.107153763679, 0.0156478952425, 0.0211999001659, -0.0403887919807, -0.0386310749715, -0.0227002158504, 0.0140942433546, -0.0528671419577, -0.0599763978982, -0.0418256541537, -0.0150803612095, -0.0736605619327, -0.0612288095619, -0.011182047263, 0.0279341947956, -0.0312595365434, -0.0148806805936, -0.0732126428815, -0.0794206786506, -0.0652155285645, -0.0451935734942

# rsi14
nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 68.9655172414, 63.1067961165, 60.878962536, 64.2745078192, 66.1717163153, 68.5684821949, 64.8569913422, 69.0646488069, 71.1875430837, 73.1703184592, 69.317470457, 72.4428056932, 74.7509060248, 70.9131078, 73.8093004934, 75.3511041766, 70.260494339, 72.5105030043, 75.0000714559, 76.2628552657, 71.7117977825, 74.0905243701, 70.8811200123, 73.8129833266, 75.5783596904, 76.8394497511, 69.1486794265, 72.5949379864, 69.035710113, 71.5401758816, 72.9536831335, 74.754127219, 68.6061889495, 70.9238919833, 72.6171847728, 74.0141042447, 68.9624959614, 71.8113895554, 74.1356412355, 75.2351528594, 69.5073747714, 72.5122596349, 68.2849918569, 70.4082171637, 71.9262382737, 73.1617974306

# kdj_rsv
60, 36.3636363636, 63.6363636364, 84.6153846154, 85.7142857143, 66.6666666667, 57.1428571429, 76.1904761905, 83.3333333333, 92.5925925926, 72.7272727273, 52.6315789474, 77.7777777778, 85.7142857143, 84.6153846154, 60.8695652174, 42.1052631579, 68.4210526316, 84.2105263158, 86.9565217391, 68.4210526316, 90.9090909091, 88.8888888889, 87.5, 78.125, 88.8888888889, 87.0967741935, 75.8620689655, 90.3225806452, 86.4406779661, 69.8113207547, 85.7142857143, 86.8852459016, 92.4528301887, 76.5957446809, 85.1851851852, 70.4545454545, 87.5, 86.2068965517, 92.4528301887, 62.7906976744, 83.6734693878, 71.4285714286, 86.3636363636, 84.6153846154, 91.3043478261, 68.1818181818, 82.9787234043, 92, 87.5, 70.8333333333, 90.243902439, 87.7551020408, 85.7142857143, 69.6428571429, 86.3636363636, 66.6666666667, 87.1794871795, 86.9565217391, 81.8181818182

# kdj_k
53.3333333333, 47.6767676768, 52.9966329966, 63.5362168696, 70.9289064845, 69.5081598785, 65.3863923, 68.9877535968, 73.769613509, 80.0439398702, 77.6050508225, 69.2805601975, 72.1129660576, 76.6467392765, 79.3029543895, 73.1584913321, 62.807415274, 64.6786277265, 71.1892605896, 76.4450143061, 73.7703604146, 79.4832705794, 82.6184766826, 84.2456511217, 82.2054340812, 84.4332523504, 85.3210929648, 82.168084965, 84.8862501917, 85.4043927832, 80.206702107, 82.0425633095, 83.6567908402, 86.5888039563, 83.2577841978, 83.9002511936, 79.4183492806, 82.1122328537, 83.4771207531, 86.4690238983, 78.5762484903, 80.2753221228, 77.3264052247, 80.3388156044, 81.764338608, 84.9443416807, 79.3568338478, 80.5641303666, 84.3760869111, 85.417391274, 80.5560386271, 83.7853265644, 85.1085850566, 85.3104852758, 80.0879425648, 82.1798404978, 77.0087825541, 80.3990174292, 82.5848521992, 82.3292954055

# kdj_d
51.1111111111, 49.9663299663, 50.9764309764, 55.1630262741, 60.4183196776, 63.4482664112, 64.0943083741, 65.7254567817, 68.4068423575, 72.2858748617, 74.0589335153, 72.4661424094, 72.3484169588, 73.7811910647, 75.6217788396, 74.8006830038, 70.8029270939, 68.7614939714, 69.5707495108, 71.8621711093, 72.498234211, 74.8265796672, 77.4238786723, 79.6978028221, 80.5336799085, 81.8335373891, 82.9960559143, 82.7200655979, 83.4421271292, 84.0962156805, 82.799711156, 82.5473285405, 82.9171493071, 84.1410341902, 83.8466175261, 83.8644954152, 82.3824467037, 82.2923754204, 82.6872905313, 83.9478683203, 82.157328377, 81.5299929589, 80.1287970475, 80.1988032331, 80.7206483581, 82.1285461323, 81.2046420375, 80.9911381472, 82.1194544018, 83.2187666925, 82.3311906707, 82.8159026353, 83.5801301091, 84.1569151646, 82.8005909647, 82.5936741424, 80.7320436129, 80.621034885, 81.2756406564, 81.6268589061

# kdj_j
57.7777777778, 43.0976430976, 57.037037037, 80.2825980604, 91.9500800982, 81.6279468131, 67.9705601516, 75.512347227, 84.495155812, 95.5600698872, 84.697285437, 62.9093957737, 71.6420642552, 82.3778357001, 86.6653054891, 69.8741079888, 46.8163916344, 56.5128952368, 74.4262827472, 85.6107006999, 76.3146128218, 88.796652404, 93.0076727031, 93.3413477209, 85.5489424265, 89.632682273, 89.9711670657, 81.0641236993, 87.7744963169, 88.0207469885, 75.0206840091, 81.0330328474, 85.1360739064, 91.4843434887, 82.0801175414, 83.9717627504, 73.4901544344, 81.7519477204, 85.0567811966, 91.5113350543, 71.414088717, 77.7659804506, 71.7216215791, 80.6188403468, 83.8517191079, 90.5759327776, 75.6612174684, 79.7101148054, 88.8893519296, 89.814640437, 77.0057345399, 85.7241744227, 88.1654949516, 87.6176254981, 74.6626457651, 81.3521732085, 69.5622604363, 79.9549825175, 85.2032752847, 83.7341684043

# boll_mid
nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 11.365, 11.485, 11.665, 11.85, 12.035, 12.17, 12.355, 12.575, 12.76, 12.955, 13.1425, 13.33, 13.555, 13.7825, 14.005, 14.19, 14.425, 14.6575, 14.895, 15.1375, 15.375, 15.5975, 15.82, 16.0075, 16.2, 16.4225, 16.635, 16.7975, 16.9975, 17.185, 17.37, 17.555, 17.745, 17.9325, 18.1175, 18.2975, 18.4825, 18.6625, 18.8325, 18.9975, 19.16

# boll_up
nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 13.0904274833, 13.2173683211, 13.3869465729, 13.6321335528, 13.9598636315, 14.2033224043, 14.5076495302, 14.84116416, 15.0690257686, 15.4089559898, 15.7950977833, 16.0075735284, 16.2182498944, 16.5319135738, 16.8751742107, 17.1119171788, 17.3445033824, 17.4244974702, 17.6095717894, 17.8372916586, 18.0988759149, 18.1137422379, 18.2884813145, 18.3866332455, 18.569810119, 18.7018584624, 18.9315408771, 19.0537081021, 19.1641737179, 19.3633250446, 19.6061574184, 19.6502088201, 19.80361604, 20.0754594023, 20.3698931717, 20.4660190799, 20.6882368383, 20.7430948669, 20.8975121065, 21.1052179603, 21.3423381956

# boll_low
nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 9.63957251674, 9.75263167889, 9.94305342708, 10.0678664472, 10.1101363685, 10.1366775957, 10.2023504698, 10.30883584, 10.4509742314, 10.5010440102, 10.4899022167, 10.6524264716, 10.8917501056, 11.0330864262, 11.1348257893, 11.2680828212, 11.5054966176, 11.8905025298, 12.1804282106, 12.4377083414, 12.6511240851, 13.0812577621, 13.3515186855, 13.6283667545, 13.830189881, 14.1431415376, 14.3384591229, 14.5412918979, 14.8308262821, 15.0066749554, 15.1338425816, 15.4597911799, 15.68638396, 15.7895405977, 15.8651068283, 16.1289809201, 16.2767631617, 16.5819051331, 16.7674878935, 16.8897820397, 16.9776618044

# atr_tr
